157,,LTY,AZORES,156
158,,OTR,BELGIAN COST ,2
159,,LTY,BLOEMENDAAL,4
160,,OTR,BRUNO HEINEMANN,3
161,,LTY,CADZAND,4
162,,LTY,CAMPERDUIN,4
163,,LTY,CASTRICUM,4
164,,LTY,DIEPPE,3
165,,LTY,DEN HELDER,4
166,,LTY,FIRTH OF FORTH,5
167,,LTY,HUMBER,5
168,,LTY,IJMUIDEN,4
169,,OTR,KAPE VERDE ISLANDS,156
170,,OTR,CHANNEL,3
171,,LTY,KENT,5
172,,RVR,LEIE,2
173,,LTY,MAASVLAKTE,4
174,,LTY,NORMANDIE,3
175,,LTY,OOSTERSCHELDE,4
176,,LTY,ROOZENBURG,4
177,,LTY,ROUEN,3
178,,LTY,RUGEN,48
179,,LTY,ZOUTE,41
180,,LTY,DOELDOK,96
181,,LTY,TEXEL,4
182,,LTY,PLATIER D'OYE,85
